Series,Mean,Median,Maximum,Minimum,Std. Dev.,Skewness,Kurtosis,Obs.
CPI,2.71,2.7,16.41,-21.44,3.08,-1.49,15.2,371
CoreCPI,2.74,2.74,9.9,-3.27,2.43,0.19,2.78,371
PCE,5.21,4.99,34.75,-24.92,6.1,-0.13,8.28,371
CorePCE,2.31,2.12,8.42,-6.84,1.51,0.13,7.3,371
IP,0.0,0.05,4.63,-7.42,1.5,-1.06,9.78,372
UNEM,0.0,-0.0,1.34,-1.18,0.37,0.51,5.15,372
WORK,0.0,-57.93,2091.3,-2190.52,721.4,0.06,4.42,372
HS,0.0,-0.63,449.17,-341.21,97.79,0.32,5.02,372
INC,0.24,0.2,2.4,-2.6,0.48,-0.2,8.89,372
SPREAD,1.44,1.45,3.61,-0.6,0.87,-0.04,2.23,372
