DATE,CPI,CoreCPI,PCE,CorePCE,IP,UNEM,INC,WORK,HS,GS5,TB3MS,CorePCE_alt_PCEPILFE,SPREAD
1984-01-01,102.1,42.19156,2419.4,47.121,53.0985,8.0,0.6,92673,1897,11.37,8.9,47.121,2.469999999999999
1984-02-01,102.6,42.315290000000005,2403.5,47.418,53.3318,7.8,-1.3,93157,2260,11.54,9.09,47.418,2.4499999999999993
1984-03-01,102.9,42.48026,2431.6,47.598,53.5929,7.8,0.8,93429,1663,12.02,9.52,47.598,2.5
1984-04-01,103.3,42.68647,2457.5,47.822,53.91,7.7,0.7,93792,1851,12.37,9.69,47.822,2.6799999999999997
1984-05-01,103.5,42.85145,2474.5,47.933,54.2026,7.4,0.6,94098,1774,13.17,9.83,47.933,3.34
1984-06-01,103.7,42.97517,2495.6,48.046,54.4014,7.2,0.7,94479,1843,13.48,9.87,48.046,3.610000000000001
1984-07-01,104.1,43.14015,2494.6,48.253,54.5521,7.5,-0.4,94789,1732,13.27,10.12,48.253,3.1500000000000004
1984-08-01,104.4,43.34636,2512.2,48.412,54.6083,7.5,0.4,95032,1586,12.68,10.47,48.412,2.209999999999999
1984-09-01,104.7,43.63506,2533.8,48.486,54.4466,7.3,0.7,95344,1698,12.53,10.37,48.486,2.16
1984-10-01,105.1,43.84128,2531.3,48.595,54.4406,7.4,-0.3,95629,1590,12.06,9.74,48.595,2.3200000000000003
1984-11-01,105.3,43.92376,2571.4,48.698,54.624,7.2,1.4,95982,1689,11.33,8.61,48.698,2.7200000000000006
1984-12-01,105.5,44.00625,2582.6,48.891,54.6416,7.3,0.2,96107,1612,11.07,8.06,48.891,3.01
1985-01-01,105.7,44.08874,2618.8,49.165,54.6322,7.3,0.9,96372,1711,10.93,7.76,49.165,3.17
1985-02-01,106.3,44.29495,2640.8,49.42,54.7825,7.2,0.4,96503,1632,11.13,8.27,49.42,2.860000000000001
1985-03-01,106.8,44.50117,2648.5,49.593,54.8653,7.2,-0.1,96842,1800,11.52,8.52,49.593,3.0
1985-04-01,107.0,44.62489,2659.5,49.652,54.7459,7.3,0.3,97038,1821,11.01,7.95,49.652,3.0599999999999996
1985-05-01,107.2,44.78987,2696.4,49.823,54.8255,7.2,1.2,97312,1680,10.34,7.48,49.823,2.8599999999999994
1985-06-01,107.5,44.87235,2689.4,49.988,54.7989,7.4,-0.5,97459,1676,9.6,6.95,49.988,2.6499999999999995
1985-07-01,107.7,44.95484,2715.7,50.134,54.5396,7.4,0.7,97648,1684,9.7,7.08,50.134,2.619999999999999
1985-08-01,107.9,45.11981,2752.1,50.38,54.7055,7.1,1.0,97840,1743,9.81,7.14,50.38,2.670000000000001
1985-09-01,108.1,45.36727,2794.7,50.484,54.8906,7.1,1.4,98045,1676,9.81,7.1,50.484,2.710000000000001
1985-10-01,108.5,45.65597,2755.8,50.565,54.7199,7.1,-1.5,98233,1834,9.69,7.16,50.565,2.5299999999999994
1985-11-01,109.0,45.86218,2771.1,50.689,54.9124,7.0,0.3,98443,1698,9.28,7.24,50.689,2.039999999999999
1985-12-01,109.5,45.90343,2811.3,50.827,55.4412,7.0,1.1,98609,1942,8.73,7.1,50.827,1.6300000000000008
1986-01-01,109.9,46.02716,2827.1,51.101,55.7481,6.7,0.1,98732,1972,8.68,7.07,51.101,1.6099999999999994
1986-02-01,109.7,46.15088,2820.2,51.233,55.3568,7.2,-0.3,98847,1848,8.34,7.06,51.233,1.2800000000000002
1986-03-01,109.1,46.31586,2823.6,51.389,54.9625,7.2,0.3,98934,1876,7.46,6.56,51.389,0.9000000000000004
1986-04-01,108.7,46.48083,2835.2,51.482,55.0413,7.1,0.6,99121,1933,7.05,6.06,51.482,0.9900000000000002
1986-05-01,109.0,46.56331,2857.5,51.57,55.1226,7.2,0.6,99248,1854,7.52,6.15,51.57,1.3699999999999992
1986-06-01,109.4,46.6458,2861.7,51.725,54.9005,7.2,-0.2,99155,1847,7.64,6.21,51.725,1.4299999999999997
1986-07-01,109.5,46.81077,2881.2,51.819,55.2592,7.0,0.7,99473,1782,7.06,5.83,51.819,1.2299999999999995
1986-08-01,109.6,46.9345,2898.6,51.925,55.1567,6.9,0.5,99588,1807,6.8,5.53,51.925,1.2699999999999996
1986-09-01,110.0,47.2232,2971.8,52.096,55.2975,7.0,2.2,99934,1687,6.92,5.21,52.096,1.71
